Code,DEquip,DOES,DOIS,DR,Lib_court,Libelle,Origine,REquip,ROES,ROIS,RR,RegrTotalise,Section,Special,Supprime,SupprimeDepuis,TypeChapitre,Nomenclature
4582,,,,,Opérations sous mandat,Opérations sous mandat,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
001,0,,,001,Solde d'exécution section investissement,Solde d'exécution de la section d'investissement reporté,Nature_Compte,0,,,001,,,,,,,M57-M57
002,0,,,002,Résultat de fonctionnement reporté,Résultat de fonctionnement reporté,Nature_Compte,0,,,002,,,,,,,M57-M57
020,0,,,020,Dépenses imprévues,Dépenses imprévues,Nature_Compte,0,,,,,,,,,,M57-M57
021,0,,,,Virement de la section de fonctionnement,Virement de la section de fonctionnement,Nature_Compte,0,021,,,,,,,,,M57-M57
022,0,,,022,Dépenses imprévues,Dépenses imprévues,Nature_Compte,0,,,,,,,,,,M57-M57
023,0,023,,,Virement à la section d'investissement,Virement à la section d'investissement,Nature_Compte,0,,,,,,,,,,M57-M57
024,0,,,,Produits des cessions d'immobilisations,Produits des cessions d'immobilisations,Nature_Compte,0,,,024,,,,,,,M57-M57
10,,,,,"Dotations, fonds divers et réserves","Dotations, fonds divers et réserves",Nature_Compte,,,,,1,,,,,,M57-M57
102,,,,,Dotations et fonds d'investissement,Dotations et fonds d'investissement,Nature_Compte,,,,,,,,,,,M57-M57
1021,0,040,041,10,Dotation,Dotation,Nature_Compte,0,040,041,10,,,,,,,M57-M57
1022,,,,,Fonds d'investissement,Fonds d'investissement,Nature_Compte,,,,,,,,,,,M57-M57
10221,,,,,TLE,TLE,Nature_Compte,,,,,,,,,,,M57-M57
10222,0,,,10,FCTVA,FCTVA,Nature_Compte,0,,,10,,,,,,,M57-M57
10223,0,,,10,TICPE 2e part,TICPE 2e part,Nature_Compte,0,,,10,,,,,,,M57-M57
10226,0,,,10,Taxe d'aménagement,Taxe d'aménagement,Nature_Compte,0,,,10,,,,,,,M57-M57
10227,0,,,10,Versement pour sous densité,Versement pour sous densité,Nature_Compte,0,,,10,,,,,,,M57-M57
10228,0,,,10,Autres fonds d'investissement,Autres fonds d'investissement,Nature_Compte,0,,,10,,,,,,,M57-M57
10229,0,,,,Reprise sur FCTVA et autres fonds,Reprise sur FCTVA et autres fonds d'investissement,Nature_Compte,0,,,,,,,,,,M57-M57
102291,0,040,,,Reprise sur FCTVA,Reprise sur FCTVA,Nature_Compte,0,040,,,,,,,,,M57-M57
102296,0,040,,,Reprise sur taxe d'aménagement,Reprise sur taxe d'aménagement,Nature_Compte,0,040,,,,,,,,,M57-M57
102297,0,040,,,Reprise sur versement pour sous-densité,Reprise sur versement pour sous-densité,Nature_Compte,0,040,,,,,,,,,M57-M57
102298,0,040,,,Reprise autres fonds d'investissement,Reprise sur autres fonds d'investissement,Nature_Compte,0,040,,,,,,,,,M57-M57
1025,,,,,Dons et legs en capital,Dons et legs en capital,Nature_Compte,,,,,,,,,,,M57-M57
10251,0,,041,10,Dons et legs en capital,Dons et legs en capital,Nature_Compte,0,,041,10,,,,,,,M57-M57
10259,0,040,,,Reprise sur dons et legs en capital,Reprise sur dons et legs en capital,Nature_Compte,0,040,,,,,,,,,M57-M57
1027,0,,,,Mise à disposition (chez bénéficiaire),Mise à disposition (chez le bénéficiaire),Nature_Compte,0,,,,,,,,,,M57-M57
103,0,,,10,Plan de relance FCTVA,Plan de relance FCTVA,Nature_Compte,0,,,10,,,,,,,M57-M57
106,,,,,Réserves,Réserves,Nature_Compte,,,,,,,,,,,M57-M57
1068,0,040,041,10,Excédents de fonctionnement capitalisés,Excédents de fonctionnement capitalisés,Nature_Compte,0,040,041,10,,,,,,,M57-M57
11,,,,,Report à nouveau,Report à nouveau (solde créditeur ou débiteur),Nature_Compte,,,,,,,,,,,M57-M57
110,0,,,,Report à nouveau (solde créditeur),Report à nouveau (solde créditeur),Nature_Compte,0,,,,,,,,,,M57-M57
119,0,,,,Report à nouveau (solde débiteur),Report à nouveau (solde débiteur),Nature_Compte,0,,,,,,,,,,M57-M57
12,0,,,,Résultat de l'exercice,Résultat de l'exercice (excédentaire ou déficitaire),Nature_Compte,0,,,,,,,,,,M57-M57
13,,,,,Subventions d'investissement,Subventions d'investissement,Nature_Compte,,,,,1,,,,,,M57-M57
131,,,,,Subv inv rattachées aux actifs amort,Subventions d'investissement rattachées aux actifs amortissables,Nature_Compte,,,,,,,,,,,M57-M57
1311,0,,041,13,Subv. transf. Etat et établ. nationaux,Etat et établissements nationaux,Nature_Compte,1,,041,13,,,,,,,M57-M57
1312,0,,041,13,Subv. transf. Régions,Régions,Nature_Compte,1,,041,13,,,,,,,M57-M57
1313,0,,041,13,Subv. transf. Départements,Départements,Nature_Compte,1,,041,13,,,,,,,M57-M57
1314,,,,,Subv. transf. Communes,Communes,Nature_Compte,,,,,,,,,,,M57-M57
13141,0,,041,13,Subv. transf. Communes membres du GFP,Communes membres du GFP,Nature_Compte,1,,041,13,,,,,,,M57-M57
13146,0,,041,13,Attributions compensation investissement,Attributions de compensation d'investissement,Nature_Compte,1,,041,13,,,,,,,M57-M57
13148,0,,041,13,Subv. transf. Autres communes,Autres communes,Nature_Compte,1,,041,13,,,,,,,M57-M57
1315,,,,,Group. coll et coll. statut particulier,Groupements de collectivités et collectivités à statut particulier,Nature_Compte,,,,,,,,,,,M57-M57
13151,0,,041,13,Subv. transf. GFP de rattachement,GFP de rattachement,Nature_Compte,1,,041,13,,,,,,,M57-M57
13156,0,,041,13,Attributions compensation investissement,Attributions de compensation d'investissement,Nature_Compte,1,,041,13,,,,,,,M57-M57
13158,0,,041,13,Subv. transf. Autres groupements,Autres groupements,Nature_Compte,1,,041,13,,,,,,,M57-M57
1316,0,,041,13,Subv. transf. Autres E.P.L.,Autres établissements publics locaux,Nature_Compte,1,,041,13,,,,,,,M57-M57
1317,,,,,Subv. transf. Fonds européens,Fonds européens,Nature_Compte,,,,,,,,,,,M57-M57
13171,0,,041,13,Subv. transf. Fonds social européen,Fonds social européen,Nature_Compte,1,,041,13,,,,,,,M57-M57
13172,0,,041,13,Subv. transf. FEDER,FEDER,Nature_Compte,1,,041,13,,,,,,,M57-M57
13173,0,,041,13,Subv. transf. FEADER,FEADER,Nature_Compte,1,,041,13,,,,,,,M57-M57
13178,0,,041,13,Autres fonds européens,Autres fonds européens,Nature_Compte,1,,041,13,,,,,,,M57-M57
1318,0,,041,13,Autres subventions d'équipement transf.,Autres,Nature_Compte,1,,041,13,,,,,,,M57-M57
132,,,,,Subv inv rattachées aux actifs non amort,Subventions d'investissement rattachées aux actifs non amortissables,Nature_Compte,,,,,,,,,,,M57-M57
1321,0,,041,13,"Subv. non transf. Etat, établ. nationaux",Etat et établissements nationaux,Nature_Compte,1,,041,13,,,,,,,M57-M57
1322,0,,041,13,Subv. non transf. Régions,Régions,Nature_Compte,1,,041,13,,,,,,,M57-M57
1323,0,,041,13,Subv. non transf. Départements,Départements,Nature_Compte,1,,041,13,,,,,,,M57-M57
1324,,,,,Subv. non transf. Communes,Communes,Nature_Compte,,,,,,,,,,,M57-M57
13241,0,,041,13,Subv. non transf. Commune membre du GFP,Communes membres du GFP,Nature_Compte,1,,041,13,,,,,,,M57-M57
13246,0,,041,13,Attributions compensation investissement,Attributions de compensation d'investissement,Nature_Compte,1,,041,13,,,,,,,M57-M57
13248,0,,041,13,Subv. non transf. Autres communes,Autres communes,Nature_Compte,1,,041,13,,,,,,,M57-M57
1325,,,,,Group. coll et coll. statut particulier,Groupements de collectivités et collectivités à statut particulier,Nature_Compte,,,,,,,,,,,M57-M57
13251,0,,041,13,Subv. non transf. GFP de rattachement,GFP de rattachement,Nature_Compte,1,,041,13,,,,,,,M57-M57
13256,0,,041,13,Attributions compensation investissement,Attributions de compensation d'investissement,Nature_Compte,1,,041,13,,,,,,,M57-M57
13258,0,,041,13,Subv. non transf. Autres groupements,Autres groupements,Nature_Compte,1,,041,13,,,,,,,M57-M57
1326,0,,041,13,Subv. non transf. Autres E.P.L.,Autres établissements publics locaux,Nature_Compte,1,,041,13,,,,,,,M57-M57
1327,,,,,Subv. non transf. Fonds européens,Fonds européens,Nature_Compte,,,,,,,,,,,M57-M57
13271,0,,041,13,Subv. non transf. Fonds social européen,Fonds social européen,Nature_Compte,1,,041,13,,,,,,,M57-M57
13272,0,,041,13,Subv. non transf. FEDER,FEDER,Nature_Compte,1,,041,13,,,,,,,M57-M57
13273,0,,041,13,Subv. non transf. FEADER,FEADER,Nature_Compte,1,,041,13,,,,,,,M57-M57
13278,0,,041,13,Autres fonds européens,Autres fonds européens,Nature_Compte,1,,041,13,,,,,,,M57-M57
1328,0,,041,13,Autres subventions d'équip. non transf.,Autres,Nature_Compte,1,,041,13,,,,,,,M57-M57
133,,,,,Fonds affectés à l'équipement amort.,Fonds affectés à l'équipement amortissable,Nature_Compte,,,,,,,,,,,M57-M57
1331,,,,,Dotations à l'équipement,Dotations à l'équipement,Nature_Compte,,,,,,,,,,,M57-M57
13311,0,,,13,DGE,DGE,Nature_Compte,1,,,13,,,,,,,M57-M57
13312,,,,,Dotation construction et équip. scolaire,Dotation de construction et d'équipement scolaire,Nature_Compte,,,,,,,,,,,M57-M57
133121,0,,,13,Dotation départementale équip. collèges,Dotation départementale d'équipement des collèges,Nature_Compte,1,,,13,,,,,,,M57-M57
133122,0,,,13,Dotation régionale d'équipement scolaire,Dotation régionale d'équipement scolaire,Nature_Compte,1,,,13,,,,,,,M57-M57
133123,0,,,13,"Dot. globale construct., équip. scolaire",Dotation globale de construction et d'équipement scolaire (COM),Nature_Compte,1,,,13,,,,,,,M57-M57
13313,0,,,13,Dot. soutien à l'invest des départements,Dotation de soutien à l'investissement des départements,Nature_Compte,1,,,13,,,,,,,M57-M57
13321,,,,,Dotation départ. équip. collèges transf.,Dotation départementale d'équipement des collèges,Nature_Compte,,,,,,,,,,,M57-M57
13322,,,,,Dotation région. équip. scolaire transf.,Dotation régionale d'équipement scolaire,Nature_Compte,,,,,,,,,,,M57-M57
1333,,,,,Fonds spécifiques - Région Ile-de-France,Fonds spécifiques - Région Ile-de-France,Nature_Compte,,,,,,,,,,,M57-M57
13332,0,,,13,TCBCE,"Taxe pour création de locaux à usage de bureaux, de locaux commerciaux et de locaux de stockage (TCBCE)",Nature_Compte,1,,,13,,,,,,,M57-M57
13333,0,,,13,Taxe complémentaire à la TLE,Taxe complémentaire à la taxe locale d'équipement,Nature_Compte,1,,,13,,,,,,,M57-M57
13334,0,,,13,Taxe sur les surfaces de stationnement,Taxe sur les surfaces de stationnement,Nature_Compte,1,,,13,,,,,,,M57-M57
1334,0,,,13,Contributions locales temporaires,Contributions locales temporaires,Nature_Compte,1,,,13,,,,,,,M57-M57
1335,0,,,13,Amendes radars automatiques et de police,Amendes de radars automatiques et amendes de police,Nature_Compte,1,,,13,,,,,,,M57-M57
1336,,,,,Fonds communaux et intercommunaux transf,Fonds communaux et intercommunaux,Nature_Compte,,,,,,,,,,,M57-M57
13361,0,,041,13,Dotation équip.territoires ruraux transf,Dotation d'équipement des territoires ruraux,Nature_Compte,1,,041,13,,,,,,,M57-M57
13362,0,,041,13,Dotation de soutien à l'invest local,Dotation de soutien à l'investissement local,Nature_Compte,1,,041,13,,,,,,,M57-M57
13363,,,,,PAE transférable,P.A.E. (programme d'aménagement d'ensemble),Nature_Compte,,,,,,,,,,,M57-M57
13364,,,,,Surtaxes locales temporaires transfér.,Surtaxes locales temporaires,Nature_Compte,,,,,,,,,,,M57-M57
13365,,,,,Particip. non-réal. aires station.transf,Participations pour non-réalisation d'aires de stationnement,Nature_Compte,,,,,,,,,,,M57-M57
13366,,,,,Participations voirie et réseaux transf,Participations pour voirie et réseaux,Nature_Compte,,,,,,,,,,,M57-M57
1337,0,,,13,Fonds régional dévelopt emploi outre-mer,Fonds régional pour le développement et l'emploi (outre-mer),Nature_Compte,1,,,13,,,,,,,M57-M57
1338,0,,,13,Autres fonds équip. transférables,Autres,Nature_Compte,1,,,13,,,,,,,M57-M57
134,,,,,Fonds affectés à l'équipement non amort.,Fonds affectés à l'équipement non amortissable,Nature_Compte,,,,,,,,,,,M57-M57
1341,,,,,Dotations à l'équipement,Dotations à l'équipement,Nature_Compte,,,,,,,,,,,M57-M57
13411,0,,,13,DGE,DGE,Nature_Compte,1,,,13,,,,,,,M57-M57
13413,0,,,13,Dot. soutien à l'invest des départements,Dotation de soutien à l'investissement des départements,Nature_Compte,1,,,13,,,,,,,M57-M57
1344,0,,,13,Contributions locales temporaires,Contributions locales temporaires,Nature_Compte,1,,,13,,,,,,,M57-M57
1345,0,,,13,Amendes radars automatiques et de police,Amendes de radars automatiques et amendes de police,Nature_Compte,1,,,13,,,,,,,M57-M57
1346,,,,,Fonds communaux et interco. non transf,Fonds communaux et intercommunaux,Nature_Compte,,,,,,,,,,,M57-M57
13461,0,,041,13,Dot. équip.territoires ruraux non transf,Dotation d'équipement des territoires ruraux,Nature_Compte,1,,041,13,,,,,,,M57-M57
13462,0,,041,13,Dotation de soutien à l'invest local,Dotation de soutien à l'investissement local,Nature_Compte,1,,041,13,,,,,,,M57-M57
13463,,,,,PAE non transférable,P.A.E. (programme d'aménagement d'ensemble),Nature_Compte,,,,,,,,,,,M57-M57
13464,,,,,Surtaxes locales temporaires non transf.,Surtaxes locales temporaires,Nature_Compte,,,,,,,,,,,M57-M57
13465,,,,,Part. non-réal. aires station.non transf,Participations pour non-réalisation d'aires de stationnement,Nature_Compte,,,,,,,,,,,M57-M57
13466,,,,,"Participations voirie,réseaux non transf",Participations pour voirie et réseaux,Nature_Compte,,,,,,,,,,,M57-M57
1347,0,,,13,Fonds régional dévelopt emploi outre-mer,Fonds régional pour le développement et l'emploi (outre-mer),Nature_Compte,1,,,13,,,,,,,M57-M57
1348,0,,,13,Autres fonds non transférables,Autres,Nature_Compte,1,,,13,,,,,,,M57-M57
138,,,,,Autres subventions invest. non transf.,Autres subventions d'investissement non transférables,Nature_Compte,,,,,1,,,,,,M57-M57
1381,0,,,13,Subv non transf Etat et établ. nationaux,Etat et établissements nationaux,Nature_Compte,0,,,13,,,,,,,M57-M57
1382,0,,,13,Subv non transf Régions,Régions,Nature_Compte,0,,,13,,,,,,,M57-M57
1383,0,,,13,Subv non transf Départements,Départements,Nature_Compte,0,,,13,,,,,,,M57-M57
1384,0,,,13,Subv non transf. Communes,Communes,Nature_Compte,0,,,13,,,,,,,M57-M57
1385,0,,,13,Group. coll et coll. statut particulier,Groupements de collectivités et collectivités à statut particulier,Nature_Compte,0,,,13,,,,,,,M57-M57
1386,0,,,13,Subv non transf. Autres EPL,Autres établissements publics locaux,Nature_Compte,0,,,13,,,,,,,M57-M57
1387,,,,,Subv non transf Fonds européens,Fonds européens,Nature_Compte,,,,,,,,,,,M57-M57
13871,0,,,13,Subv non transf Fonds social européen,Fonds social européen,Nature_Compte,0,,,13,,,,,,,M57-M57
13872,0,,,13,Subv non transf FEDER,FEDER,Nature_Compte,0,,,13,,,,,,,M57-M57
13873,0,,,13,Subv non transf FEADER,FEADER,Nature_Compte,0,,,13,,,,,,,M57-M57
13878,0,,,13,Autres fonds européens,Autres fonds européens,Nature_Compte,0,,,13,,,,,,,M57-M57
1388,0,,,13,Autres fonds non transférables,Autres,Nature_Compte,0,,,13,,,,,,,M57-M57
139,,,,,Subv. invest. transférées cpte résultat,Subventions d'investissement transférées au compte de résultat,Nature_Compte,,,,,1,,,,,,M57-M57
1391,,,,,Subv inv rattachées aux actifs amort,Subventions d'investissement rattachées aux actifs amortissables,Nature_Compte,,,,,,,,,,,M57-M57
13911,0,040,,,Subv. transf. Etat et établ. nationaux,Etat et établissements nationaux,Nature_Compte,0,040,,,,,,,,,M57-M57
13912,0,040,,,Subv. transf. Régions,Régions,Nature_Compte,0,040,,,,,,,,,M57-M57
13913,0,040,,,Subv. transf. Départements,Départements,Nature_Compte,0,040,,,,,,,,,M57-M57
13914,,,,,Subv. transf. Communes,Communes,Nature_Compte,,,,,,,,,,,M57-M57
139141,0,040,,,Subv. transf. Communes membres du GFP,Communes membres du GFP,Nature_Compte,0,040,,,,,,,,,M57-M57
139146,0,040,,,Attributions compensation investissement,Attributions de compensation d'investissement,Nature_Compte,0,,,,,,,,,,M57-M57
139148,0,040,,,Subv. transf. Autres communes,Autres communes,Nature_Compte,0,040,,,,,,,,,M57-M57
13915,,,,,Group. coll et coll. statut particulier,Groupements de collectivités et collectivités à statut particulier,Nature_Compte,,,,,,,,,,,M57-M57
139151,0,040,,,Subv. transf. GFP de rattachement,GFP de rattachement,Nature_Compte,0,040,,,,,,,,,M57-M57
139156,0,040,,,Attributions compensation investissement,Attributions de compensation d'investissement,Nature_Compte,0,,,,,,,,,,M57-M57
139158,0,040,,,Subv. transf. Autres groupements,Autres groupements,Nature_Compte,0,040,,,,,,,,,M57-M57
13916,0,040,,,Subv. transf. Autres E.P.L.,Autres établissements publics locaux,Nature_Compte,0,040,,,,,,,,,M57-M57
13917,,,,,Subv. transf. Fonds européens,Fonds européens,Nature_Compte,,,,,,,,,,,M57-M57
139171,0,040,,,Subv. transf. Fonds social européen,Fonds social européen,Nature_Compte,0,040,,,,,,,,,M57-M57
139172,0,040,,,Subv. transf. FEDER,FEDER,Nature_Compte,0,040,,,,,,,,,M57-M57
139173,0,040,,,Subv. transf. FEADER,FEADER,Nature_Compte,0,040,,,,,,,,,M57-M57
139178,0,040,,,Autres fonds européens,Autres fonds européens,Nature_Compte,0,040,,,,,,,,,M57-M57
13918,0,040,,,Autres subventions d'équipement transf.,Autres,Nature_Compte,0,040,,,,,,,,,M57-M57
1393,,,,,Fonds affectés à l'équipement,Fonds affectés à l'équipement,Nature_Compte,,,,,,,,,,,M57-M57
13931,,,,,Dotations à l'équipement,Dotations à l'équipement,Nature_Compte,,,,,,,,,,,M57-M57
139311,0,040,,,DGE,DGE,Nature_Compte,0,040,,,,,,,,,M57-M57
139312,,,,,Dotation construction et équip. scolaire,Dotation de construction et d'équipement scolaire,Nature_Compte,,,,,,,,,,,M57-M57
1393121,0,040,,,Dotation départementale équip. collèges,Dotation départementale d'équipement des collèges,Nature_Compte,0,040,,,,,,,,,M57-M57
1393122,0,040,,,Dotation régionale d'équipement scolaire,Dotation régionale d'équipement scolaire,Nature_Compte,0,040,,,,,,,,,M57-M57
1393123,0,040,,,"Dot. globale construct., équip. scolaire",Dotation globale de construction et d'équipement scolaire (COM),Nature_Compte,0,040,,,,,,,,,M57-M57
139313,0,040,,,Dot. soutien à l'invest des départements,Dotation de soutien à l'investissement des départements,Nature_Compte,0,040,,,,,,,,,M57-M57
13933,,,,,Fonds spécifiques - Région Ile-de-France,Fonds spécifiques - Région Ile-de-France,Nature_Compte,,,,,,,,,,,M57-M57
139332,0,040,,,TCBCE,"Taxe pour création de locaux à usage de bureaux, de locaux commerciaux et de locaux de stockage (TCBCE)",Nature_Compte,0,040,,,,,,,,,M57-M57
139333,0,040,,,Taxe complémentaire à la TLE,Taxe complémentaire à la taxe locale d'équipement,Nature_Compte,0,040,,,,,,,,,M57-M57
139334,0,040,,,Taxe sur les surfaces de stationnement,Taxe sur les surfaces de stationnement,Nature_Compte,0,040,,,,,,,,,M57-M57
13934,0,040,,,Contributions locales temporaires,Contributions locales temporaires,Nature_Compte,0,040,,,,,,,,,M57-M57
13935,0,040,,,Amendes radars automatiques et de police,Amendes de radars automatiques et amendes de police,Nature_Compte,0,040,,,,,,,,,M57-M57
13936,,,,,Fonds communaux et intercommunaux transf,Fonds communaux et intercommunaux,Nature_Compte,,,,,,,,,,,M57-M57
139361,0,040,,,Dotation équip.territoires ruraux transf,Dotation d'équipement des territoires ruraux,Nature_Compte,0,040,,,,,,,,,M57-M57
139362,0,040,,,Dotation de soutien à l'invest local,Dotation de soutien à l'investissement local,Nature_Compte,0,040,,,,,,,,,M57-M57
139363,,,,,PAE transférable,P.A.E. (programme d'aménagement d'ensemble),Nature_Compte,,,,,,,,,,,M57-M57
139364,,,,,Surtaxes locales temporaires transfér.,Surtaxes locales temporaires,Nature_Compte,,,,,,,,,,,M57-M57
139365,,,,,Particip. non-réal. aires station.transf,Participations pour non-réalisation d'aires de stationnement,Nature_Compte,,,,,,,,,,,M57-M57
139366,,,,,Participations voirie et réseaux transf,Participations pour voirie et réseaux,Nature_Compte,,,,,,,,,,,M57-M57
13937,0,040,,,Fonds régional dévelopt emploi outre-mer,Fonds régional pour le développement et l'emploi (outre-mer),Nature_Compte,0,040,,,,,,,,,M57-M57
13938,0,040,,,Autres fonds équip. transférables,Autres,Nature_Compte,0,040,,,,,,,,,M57-M57
15,,,,,Provisions pour risques et charges,Provisions pour risques et charges,Nature_Compte,,,,,1,,,,,,M57-M57
151,,,,,Provisions pour risques,Provisions pour risques,Nature_Compte,,,,,,,,,,,M57-M57
1511,,,,,Provisions pour litiges et contentieux,Provisions pour litiges et contentieux,Nature_Compte,,,,,,,,,,,M57-M57
15111,0,,,,Provisions pour litiges et contentieux,Provisions pour litiges et contentieux,Nature_Compte,0,,,,,,,,,,M57-M57
15112,0,040,,,Provisions pour litiges et contentieux,Provisions pour litiges et contentieux,Nature_Compte,0,040,,,,,,,,,M57-M57
1515,,,,,Provisions pour pertes de change,Provision pour pertes de change,Nature_Compte,,,,,,,,,,,M57-M57
